label,base_name,shape_k,scale_c,n_points,mean_vel,std_vel
LCZ 8,Run10,2.12493436374324,0.5096325857995303,6925,0.42273776893642045,0.25117546907814736
LCZ 7,Run11,1.1493662751070675,0.18260034244137813,9737,0.16709906711382772,0.17665848230024764
LCZ 10,Run12,1.0970399229209709,0.3773848951102613,4367,0.359083924667462,0.3356800719584734
LCZ 6,Run2,1.442288676120549,0.30732634938552583,13262,0.2674672650094328,0.20055066862963036
Global Fit,ALL,1.2656346462851573,0.31568444924559336,34291,0.281991573122684,0.2451425924561114
